algorithm,community_id,size,year_start,year_end,span_years,temporal_entropy,num_eras,dominant_era,num_countries,geographic_entropy,dominant_country,country_dominance,pagerank_mean,pagerank_std,pagerank_cv,gini_pagerank
Louvain,37,4,1904,1904,0,0.0,1,Era Pioneira (1896-1919),2,0.8112781244591328,GER,0.75,0.0006644455076797873,0.00040978120524682665,0.6167265795471528,0.28041242044031
Louvain,38,4,2021,2021,0,0.0,1,Era Moderna (2000+),4,2.0,USA,0.25,0.0006786654452803713,0.00039665832838470694,0.5844681369048321,0.26950989974473183
Infomap,0,22,1920,1932,12,0.5746356978376794,1,Entre Guerras (1920-1949),7,2.333481621675163,SWE,0.3181818181818182,0.0010339208911662168,0.0011565744591435733,1.118629547990861,0.4413193108766096
Infomap,1,16,1936,1936,0,0.0,1,Entre Guerras (1920-1949),3,1.5612781244591325,JPN,0.375,0.0010425325694320355,0.0010903345357942723,1.0458517726580754,0.4313594683478603
Infomap,2,45,1968,1976,8,0.43275015878875406,1,Guerra Fria (1950-1979),7,2.4580213020871606,USA,0.37777777777777777,0.0012042214188121632,0.0013960239853483326,1.1592751661279719,0.4618381816815853
Infomap,3,32,2012,2016,4,0.0,1,Era Moderna (2000+),9,2.5608203810934294,USA,0.34375,0.002431846891277617,0.00597611925894933,2.4574405898595297,0.7151356742097781
Infomap,4,19,1980,1984,4,0.0,1,Pós-Guerra Fria (1980-1999),4,1.7863012011716395,URS,0.3684210526315789,0.0011737809182534769,0.0013124139226781226,1.1181080747427077,0.47270194606332505
Infomap,5,65,1900,1924,24,1.3909192829724866,2,Era Pioneira (1896-1919),9,2.627879471669186,USA,0.38461538461538464,0.001005774204582045,0.001181653571022405,1.1748696334019102,0.43536308129849566
Infomap,6,51,2004,2016,12,0.8478617451660525,1,Era Moderna (2000+),13,3.1284188267416666,USA,0.21568627450980393,0.0010960940324416554,0.0017306764140733943,1.5789488518773753,0.5111209404948609
Infomap,7,3,1896,1896,0,0.0,1,Era Pioneira (1896-1919),3,1.584962500721156,GRE,0.3333333333333333,0.0007075180865595518,0.00025166397743079305,0.35569970890010666,0.1934105687166212
Infomap,8,19,1920,1928,8,0.0,1,Entre Guerras (1920-1949),5,1.9526832779469114,USA,0.42105263157894735,0.0009412571776811079,0.0008428472339548432,0.8954484002249964,0.37287232611738097
Infomap,9,65,1984,1996,12,0.961236604722876,1,Pós-Guerra Fria (1980-1999),16,3.378234736467895,USA,0.27692307692307694,0.0012928238942719677,0.0019427772269959528,1.5027392637185093,0.5217015212356919
Infomap,10,8,1980,1980,0,0.0,1,Pós-Guerra Fria (1980-1999),6,2.5,URS,0.25,0.0006715098155725161,0.00039178316814637826,0.5834362492711318,0.27502004467885177
Infomap,11,14,1984,1984,0,0.0,1,Pós-Guerra Fria (1980-1999),6,2.263809173883547,USA,0.35714285714285715,0.0007972406925909074,0.0004926510776050666,0.6179452230467911,0.302629956191401
Infomap,12,33,1960,1968,8,0.0,1,Guerra Fria (1950-1979),5,1.9957293370065474,USA,0.42424242424242425,0.0010775665447575792,0.0014071035799917758,1.3058159487573298,0.4516545278738211
Infomap,13,23,1972,1976,4,0.0,1,Guerra Fria (1950-1979),6,2.0570812624395973,USA,0.43478260869565216,0.0008228081458287558,0.0006232069796681261,0.7574146936044419,0.34322594952415053
Infomap,14,3,2016,2016,0,0.0,1,Era Moderna (2000+),3,1.584962500721156,KAZ,0.3333333333333333,0.0006367269874156968,0.00029016339050282183,0.45571084034071935,0.2278597464824199
Infomap,15,2,1988,1988,0,0.0,1,Pós-Guerra Fria (1980-1999),2,1.0,GDR,0.5,0.0005801117119518466,0.00017300040162766882,0.29821911549689434,0.14910955774844714
Infomap,16,13,1932,1932,0,0.0,1,Entre Guerras (1920-1949),3,1.5766212201074914,USA,0.38461538461538464,0.0008736324085457576,0.0008041926970719309,0.9205160994549005,0.35185092480976565
Infomap,17,15,1980,1984,4,0.0,1,Pós-Guerra Fria (1980-1999),4,1.7464657985040721,SWE,0.4666666666666667,0.000957082169948553,0.001000038117156724,1.0448821935638817,0.4246807301526656
Infomap,18,7,1988,1996,8,0.8631205685666311,1,Pós-Guerra Fria (1980-1999),5,2.1280852788913944,HUN,0.42857142857142855,0.0007676552267293469,0.000391495189366818,0.5099883069054487,0.27474380117292596
Infomap,19,4,1912,1912,0,0.0,1,Era Pioneira (1896-1919),2,0.8112781244591328,GER,0.75,0.0006982065303551963,0.00046016896942739307,0.659072852259478,0.3016071046138675
Infomap,20,11,1988,2000,12,1.3092966682370037,2,Pós-Guerra Fria (1980-1999),6,2.368522527728207,USA,0.36363636363636365,0.0008514438176996687,0.0004913911585173722,0.5771269322795194,0.3113368804467862
Infomap,21,18,1964,1968,4,0.0,1,Guerra Fria (1950-1979),4,1.6758220575766962,USA,0.5,0.0008335845411771855,0.0005922312776019156,0.7104633643584229,0.340561807068414
Infomap,22,24,1956,1964,8,0.24988229283318544,1,Guerra Fria (1950-1979),4,1.75,USA,0.375,0.0017938171892739067,0.003322488067635339,1.8521887779323827,0.6342333316747661
Infomap,23,22,1992,1996,4,0.0,1,Pós-Guerra Fria (1980-1999),8,2.5839259400536596,USA,0.3181818181818182,0.000784149829689413,0.0005678494120600313,0.724159325884118,0.31779421739991065
Infomap,24,15,2016,2016,0,0.0,1,Era Moderna (2000+),4,1.7819370635467042,USA,0.4,0.000944419000759088,0.0006948483678603306,0.7357416224174206,0.3584052239218938
Infomap,25,2,1984,1984,0,0.0,1,Pós-Guerra Fria (1980-1999),2,1.0,AUS,0.5,0.0008140404185261524,0.00024269323853533844,0.29813413807479333,0.14906706903739653
